1834873030,1,USER_MENTION oh that sounds yummy we dont have a bloomingdales thats ok ill settle for yogurtland
2062647136,0,USER_MENTION theres so many fakes of you
2013029024,1,USER_MENTION um nothing new apart from street fighter
2184368404,1,USER_MENTION USER_MENTION the day cnn started sourcing news from twitter myspace and facebook was a great fail for everyone
2214865531,0,missing my dad my brother today
2055105913,1,USER_MENTION thanks glad you think so
1994650616,0,USER_MENTION the unbalancing thatd be the caps lock then in a bad mood with microsoft taking it out on twitter in a bad mood generally
1970132504,1,is with the family at franks diner in jessup great food
2064592270,1,having a great.time at astd ice after helping sit out response units for tony binghams monday keynote
1973735232,0,no new shoes for me
2053158348,0,i look a hot mess my head is bumpin
1688817396,1,USER_MENTION lmao still want a lil one though
1991533217,1,fuck yeah after i get a grand for the down payment i have myself an scion tc time to go pick up an old drumset from a friend to sell
2178122892,1,i hope i can update my twitter while there
2068165559,1,USER_MENTION and USER_MENTION on kc love you guys
1822866207,1,i love love love silverstein work tomorrow boo
1825600097,1,is getting ready and heading down to gilleys dallas to hear my husband play anyone need a drummer hes the best
2051815190,1,has to remain looking up spain for july than nova scotia ahh summer star trek was amazing can only prepare for whats good
2183477354,1,USER_MENTION yess again its okay ive learnt my lesson this time baha
2186457855,1,USER_MENTION wow very impresive did you find your pic of you and the bear online
2181302629,1,with bff USER_MENTION glad she got that dog out of here lol my stomatch hurts
1835477923,0,USER_MENTION btw sorry your feeling crappy
2013718417,1,USER_MENTION loved the show
2013145785,1,USER_MENTION aww lol there is moree sun to come keep smiling
2260674132,1,having a pancake and coffee and wanting to play golf
1956646078,0,USER_MENTION wtf is plinky hahaah isnt that the koala no pft thats blinky blinky bill haha i remember him
1470044339,1,the bachelor party yesterday was great fun but im totally exhausted today
1470036673,0,USER_MENTION now i really dont wanna look into this too deep but am i sensing some kind of sarcastic mother fucking tone or is that just me
1957346454,1,i can not sleep but never mind because i have and are givin mtv playlist sleep if i hope to have a beautiful dreams xd
1551489078,1,too warm to sleep
2058008492,1,omg im so happy right now super happy
2064209381,1,has gotten great ideas from USER_MENTION thanks
1990614519,1,USER_MENTION i would love to but i have school projects all day boo
2039773787,0,USER_MENTION im inviting you to come so come USER_MENTION ill see you there at night
1678071431,0,USER_MENTION actually recently apple has been pretty shitty about needing to reboot after many updates
